rpc	calls	tier	coupling	disposition
PXRM REMINDER DIALOG (TIU)	1	C-dialog	cprs-dialog-machine	legacy
TIU CREATE RECORD	1	C		canonical
TIU GET DOCUMENT TITLE	1	M		canonical
TIU GET LIST OF OBJECTS	1	V	tiu-editor	legacy
TIU GET PRINT NAME	1	M		canonical
TIU GET REQUEST	1	M		canonical
TIU IS THIS A CONSULT?	1	M		canonical
TIU ISPRF	1	M		canonical
TIU LOAD BOILERPLATE TEXT	1	V	tiu-editor	legacy
TIU LOCK RECORD	1	C		canonical
TIU ONE VISIT NOTE?	1	M		canonical
TIU REM DLG OK AS TEMPLATE	1	V	tiu-editor	legacy
TIU SIGN RECORD	1	C		canonical
TIU TEMPLATE ACCESS LEVEL	1	C	tiu-editor	canonical
TIU UNLOCK RECORD	1	C		canonical
TIU UPDATE RECORD	1	C		canonical
TIU WAS THIS SAVED?	1	C		canonical
TIU WHICH SIGNATURE ACTION	1	C		canonical
